,id,file,site,strip_id,cloud_cover,Site_ID,src_directory,filenames,Date,ozone_AQI,pm2.5_AQI,AQI,class,pm2.5_class,AQI_class,pm2.5_AQI_class,set
0,59_5001,20190902_184228_93_1067,5001.0,2646834.0,0.18,60595001,county_site,59_5001_20190902_184228_93_1067_3B_Visual_clip.jpg,2019-09-02,37.0,0.0,37.0,0,,Good,,valid
1,59_5001,20181007_180623_1005,5001.0,1751570.0,0.19,60595001,county_site,59_5001_20181007_180623_1005_3B_Visual_clip.jpg,2018-10-07,42.0,0.0,42.0,0,,Good,,train
2,59_5001,20200517_182913_87_1067,5001.0,3405714.0,0.12,60595001,county_site,59_5001_20200517_182913_87_1067_3B_Visual_clip.jpg,2020-05-17,40.0,0.0,40.0,0,,Good,,test
3,59_5001,20180406_180052_0f1b,5001.0,1332476.0,0.15,60595001,county_site,59_5001_20180406_180052_0f1b_3B_Visual_clip.jpg,2018-04-06,43.0,0.0,43.0,0,,Good,,train
4,59_5001,20200205_183444_42_1064,5001.0,3107865.0,0.22,60595001,county_site,59_5001_20200205_183444_42_1064_3B_Visual_clip.jpg,2020-02-05,28.0,0.0,28.0,0,,Good,,train
5,59_5001,20170831_175020_0f4e,5001.0,724055.0,0.11,60595001,county_site,59_5001_20170831_175020_0f4e_3B_Visual_clip.jpg,2017-08-31,100.0,0.0,100.0,1,,Moderate,,train
6,59_5001,20190811_182815_12_1059,5001.0,2595406.0,0.12,60595001,county_site,59_5001_20190811_182815_12_1059_3B_Visual_clip.jpg,2019-08-11,32.0,0.0,32.0,0,,Good,,train
7,59_5001,20191108_183919_80_106a,5001.0,2822496.0,0.12,60595001,county_site,59_5001_20191108_183919_80_106a_3B_Visual_clip.jpg,2019-11-08,31.0,0.0,31.0,0,,Good,,train
8,37_1302,20191027_184140_23_1067,1302.0,2787415.0,0.29,60371302,county_site,37_1302_20191027_184140_23_1067_3B_Visual_clip.jpg,2019-10-27,36.0,49.0,49.0,0,0.0,Good,Good,valid
9,37_1302,20200405_174800_18_2277,1302.0,3295698.0,0.16,60371302,county_site,37_1302_20200405_174800_18_2277_3B_Visual_clip.jpg,2020-04-05,27.0,12.0,27.0,0,0.0,Good,Good,train
10,37_1302,20190525_184733_29_106e,1302.0,2392089.0,0.22,60371302,county_site,37_1302_20190525_184733_29_106e_3B_Visual_clip.jpg,2019-05-25,38.0,31.0,38.0,0,0.0,Good,Good,train
11,37_1302,20200817_182536_79_1065,1302.0,3657933.0,0.22,60371302,county_site,37_1302_20200817_182536_79_1065_3B_Visual_clip.jpg,2020-08-17,36.0,0.0,36.0,0,,Good,,train
12,37_1302,20191229_183523_66_1060,1302.0,2982673.0,0.21,60371302,county_site,37_1302_20191229_183523_66_1060_3B_Visual_clip.jpg,2019-12-29,27.0,72.0,72.0,1,1.0,Moderate,Moderate,train
13,37_1302,20200904_182239_77_106c,1302.0,3702734.0,0.15,60371302,county_site,37_1302_20200904_182239_77_106c_3B_Visual_clip.jpg,2020-09-04,58.0,0.0,58.0,1,,Moderate,,train
14,37_1302,20200904_175832_0e20,1302.0,3701474.0,0.02,60371302,county_site,37_1302_20200904_175832_0e20_3B_Visual_clip.jpg,2020-09-04,58.0,0.0,58.0,1,,Moderate,,test
15,37_1302,20190922_182845_73_1061,1302.0,2696199.0,0.14,60371302,county_site,37_1302_20190922_182845_73_1061_3B_Visual_clip.jpg,2019-09-22,58.0,48.0,58.0,1,0.0,Moderate,Good,test
16,37_1302,20191208_183831_01_1067,1302.0,2915904.0,0.3,60371302,county_site,37_1302_20191208_183831_01_1067_3B_Visual_clip.jpg,2019-12-08,31.0,27.0,31.0,0,0.0,Good,Good,valid
17,37_1302,20190919_184155_47_1067,1302.0,2688869.0,0.21,60371302,county_site,37_1302_20190919_184155_47_1067_3B_Visual_clip.jpg,2019-09-19,31.0,30.0,31.0,0,0.0,Good,Good,train
18,37_1302,20200805_175300_95_2278,1302.0,3626685.0,0.13,60371302,county_site,37_1302_20200805_175300_95_2278_3B_Visual_clip.jpg,2020-08-05,34.0,0.0,34.0,0,,Good,,test
19,37_1302,20200221_183754_95_1061,1302.0,3161884.0,0.21,60371302,county_site,37_1302_20200221_183754_95_1061_3B_Visual_clip.jpg,2020-02-21,46.0,57.0,57.0,1,1.0,Moderate,Moderate,train
20,37_1302,20191105_183451_62_105e,1302.0,2813033.0,0.1,60371302,county_site,37_1302_20191105_183451_62_105e_3B_Visual_clip.jpg,2019-11-05,44.0,66.0,66.0,1,1.0,Moderate,Moderate,test
21,37_1302,20200922_160235_0f49,1302.0,3749075.0,0.14,60371302,county_site,37_1302_20200922_160235_0f49_3B_Visual_clip.jpg,2020-09-22,49.0,0.0,49.0,0,,Good,,train
22,37_1302,20200308_184024_39_1058,1302.0,3211566.0,0.2,60371302,county_site,37_1302_20200308_184024_39_1058_3B_Visual_clip.jpg,2020-03-08,31.0,14.0,31.0,0,0.0,Good,Good,train
23,37_1302,20200308_183313_67_106b,1302.0,3212226.0,0.16,60371302,county_site,37_1302_20200308_183313_67_106b_3B_Visual_clip.jpg,2020-03-08,31.0,14.0,31.0,0,0.0,Good,Good,valid
24,37_1302,20190415_181234_0f12,1302.0,2287710.0,0.3,60371302,county_site,37_1302_20190415_181234_0f12_3B_Visual_clip.jpg,2019-04-15,35.0,36.0,36.0,0,0.0,Good,Good,valid
25,37_1302,20200102_183659_11_1058,1302.0,2993849.0,0.12,60371302,county_site,37_1302_20200102_183659_11_1058_3B_Visual_clip.jpg,2020-01-02,23.0,72.0,72.0,1,1.0,Moderate,Moderate,valid
26,37_1302,20190807_184426_42_106b,1302.0,2583268.0,0.22,60371302,county_site,37_1302_20190807_184426_42_106b_3B_Visual_clip.jpg,2019-08-07,39.0,49.0,49.0,0,0.0,Good,Good,train
27,37_1302,20200709_184458_96_1057,1302.0,3556196.0,0.18,60371302,county_site,37_1302_20200709_184458_96_1057_3B_Visual_clip.jpg,2020-07-09,44.0,0.0,44.0,0,,Good,,valid
28,37_1302,20201001_182130_77_106b,,,0.3,60371302,county_site,37_1302_20201001_182130_77_106b_3B_Visual_clip.jpg,2020-10-01,58.0,0.0,58.0,1,,Moderate,,train
29,37_1302,20190907_184125_15_106c,1302.0,2658794.0,0.15,60371302,county_site,37_1302_20190907_184125_15_106c_3B_Visual_clip.jpg,2019-09-07,37.0,35.0,37.0,0,0.0,Good,Good,test
30,37_1302,20190907_170419_0f33,1302.0,2659080.0,0.01,60371302,county_site,37_1302_20190907_170419_0f33_3B_Visual_clip.jpg,2019-09-07,37.0,35.0,37.0,0,0.0,Good,Good,valid
31,37_1302,20180726_180418_0e0f,1302.0,1589604.0,0.22,60371302,county_site,37_1302_20180726_180418_0e0f_3B_Visual_clip.jpg,2018-07-26,36.0,0.0,36.0,0,,Good,,test
32,37_1302,20200718_182452_94_1062,1302.0,3581625.0,0.12,60371302,county_site,37_1302_20200718_182452_94_1062_3B_Visual_clip.jpg,2020-07-18,32.0,0.0,32.0,0,,Good,,train
33,37_1302,20200509_184246_43_1057,1302.0,3383137.0,0.19,60371302,county_site,37_1302_20200509_184246_43_1057_3B_Visual_clip.jpg,2020-05-09,42.0,60.0,60.0,1,1.0,Moderate,Moderate,train
34,37_1302,20181104_180755_1035,1302.0,1817639.0,0.3,60371302,county_site,37_1302_20181104_180755_1035_3B_Visual_clip.jpg,2018-11-04,54.0,74.0,74.0,1,1.0,Moderate,Moderate,train
35,37_1302,20200104_183512_75_1059,1302.0,3001108.0,0.19,60371302,county_site,37_1302_20200104_183512_75_1059_3B_Visual_clip.jpg,2020-01-04,23.0,104.0,104.0,2,2.0,Unhealthy,Unhealthy,valid
36,37_1302,20190815_182811_45_1061,1302.0,2602874.0,0.14,60371302,county_site,37_1302_20190815_182811_45_1061_3B_Visual_clip.jpg,2019-08-15,44.0,46.0,46.0,0,0.0,Good,Good,valid
37,37_1302,20200607_183018_82_105c,1302.0,3466001.0,0.18,60371302,county_site,37_1302_20200607_183018_82_105c_3B_Visual_clip.jpg,2020-06-07,33.0,38.0,38.0,0,0.0,Good,Good,train
38,37_1302,20191016_183359_74_1058,1302.0,2756232.0,0.18,60371302,county_site,37_1302_20191016_183359_74_1058_3B_Visual_clip.jpg,2019-10-16,42.0,59.0,59.0,1,1.0,Moderate,Moderate,valid
39,37_1302,20191005_210211_0f4c,1302.0,2728528.0,0.18,60371302,county_site,37_1302_20191005_210211_0f4c_3B_Visual_clip.jpg,2019-10-05,84.0,53.0,84.0,1,1.0,Moderate,Moderate,train
40,37_1302,20190610_184547_65_1068,1302.0,2434297.0,0.18,60371302,county_site,37_1302_20190610_184547_65_1068_3B_Visual_clip.jpg,2019-06-10,61.0,44.0,61.0,1,0.0,Moderate,Good,train
41,37_1302,20180320_180028_1021,1302.0,1274656.0,0.28,60371302,county_site,37_1302_20180320_180028_1021_3B_Visual_clip.jpg,2018-03-20,35.0,0.0,35.0,0,,Good,,train
42,37_1302,20200324_174740_57_2259,1302.0,3258597.0,0.18,60371302,county_site,37_1302_20200324_174740_57_2259_3B_Visual_clip.jpg,2020-03-24,35.0,18.0,35.0,0,0.0,Good,Good,test
43,37_1302,20190407_181232_0f22,1302.0,2266549.0,0.12,60371302,county_site,37_1302_20190407_181232_0f22_3B_Visual_clip.jpg,2019-04-07,42.0,41.0,42.0,0,0.0,Good,Good,test
44,37_1302,20190316_210614_0f4c,1302.0,2209035.0,0.2,60371302,county_site,37_1302_20190316_210614_0f4c_3B_Visual_clip.jpg,2019-03-16,46.0,52.0,52.0,1,1.0,Moderate,Moderate,train
45,37_1302,20190912_182944_39_1060,1302.0,2670691.0,0.11,60371302,county_site,37_1302_20190912_182944_39_1060_3B_Visual_clip.jpg,2019-09-12,41.0,46.0,46.0,0,0.0,Good,Good,train
46,37_1302,20191029_183118_99_1066,1302.0,2793029.0,0.13,60371302,county_site,37_1302_20191029_183118_99_1066_3B_Visual_clip.jpg,2019-10-29,38.0,54.0,54.0,1,1.0,Moderate,Moderate,test
47,37_1302,20200101_183712_29_1065,1302.0,2992370.0,0.12,60371302,county_site,37_1302_20200101_183712_29_1065_3B_Visual_clip.jpg,2020-01-01,33.0,94.0,94.0,1,1.0,Moderate,Moderate,train
48,37_1302,20200402_174740_25_2257,1302.0,3284158.0,0.09,60371302,county_site,37_1302_20200402_174740_25_2257_3B_Visual_clip.jpg,2020-04-02,35.0,38.0,38.0,0,0.0,Good,Good,valid
49,71_8001,20180725_180029_0f46,8001.0,1588406.0,0.21,60718001,county_site,71_8001_20180725_180029_0f46_3B_Visual_clip.jpg,2018-07-25,0.0,26.0,26.0,0,0.0,Good,Good,valid
50,71_8001,20200311_182740_03_106e,8001.0,3220756.0,0.11,60718001,county_site,71_8001_20200311_182740_03_106e_3B_Visual_clip.jpg,2020-03-11,0.0,27.0,27.0,0,0.0,Good,Good,train
51,71_8001,20180219_175445_0e19,8001.0,1192909.0,0.24,60718001,county_site,71_8001_20180219_175445_0e19_3B_Visual_clip.jpg,2018-02-19,0.0,14.0,14.0,0,0.0,Good,Good,valid
52,71_8001,20190831_182732_64_105c,8001.0,2641636.0,0.11,60718001,county_site,71_8001_20190831_182732_64_105c_3B_Visual_clip.jpg,2019-08-31,0.0,20.0,20.0,0,0.0,Good,Good,test
53,71_12,20200314_180247_0e20,12.0,3229856.0,0.19,60710012,county_site,71_12_20200314_180247_0e20_3B_Visual_clip.jpg,2020-03-14,40.0,0.0,40.0,0,,Good,,valid
54,71_12,20190906_184013_98_106b,12.0,2656473.0,0.24,60710012,county_site,71_12_20190906_184013_98_106b_3B_Visual_clip.jpg,2019-09-06,112.0,0.0,112.0,2,,Unhealthy,,train
55,71_12,20190908_182652_54_105d,12.0,2660791.0,0.23,60710012,county_site,71_12_20190908_182652_54_105d_3B_Visual_clip.jpg,2019-09-08,50.0,0.0,50.0,0,,Good,,train
56,71_12,20200421_184027_72_1057,12.0,3336765.0,0.15,60710012,county_site,71_12_20200421_184027_72_1057_3B_Visual_clip.jpg,2020-04-21,44.0,0.0,44.0,0,,Good,,train
57,71_12,20200421_182820_61_106e,12.0,3337122.0,0.07,60710012,county_site,71_12_20200421_182820_61_106e_3B_Visual_clip.jpg,2020-04-21,44.0,0.0,44.0,0,,Good,,train
58,71_12,20200212_183153_15_106a,12.0,3131874.0,0.21,60710012,county_site,71_12_20200212_183153_15_106a_3B_Visual_clip.jpg,2020-02-12,43.0,0.0,43.0,0,,Good,,train
59,71_12,20191213_183526_42_106c,12.0,2931298.0,0.2,60710012,county_site,71_12_20191213_183526_42_106c_3B_Visual_clip.jpg,2019-12-13,30.0,0.0,30.0,0,,Good,,valid
60,71_12,20190625_180924_1003,12.0,2474218.0,0.23,60710012,county_site,71_12_20190625_180924_1003_3B_Visual_clip.jpg,2019-06-25,101.0,0.0,101.0,2,,Unhealthy,,train
61,71_12,20190617_171456_0f21,12.0,2452164.0,0.2,60710012,county_site,71_12_20190617_171456_0f21_3B_Visual_clip.jpg,2019-06-17,74.0,0.0,74.0,1,,Moderate,,test
62,71_12,20190617_182535_83_105d,12.0,2453528.0,0.0,60710012,county_site,71_12_20190617_182535_83_105d_3B_Visual_clip.jpg,2019-06-17,74.0,0.0,74.0,1,,Moderate,,train
63,71_12,20200822_181938_57_106b,12.0,3670441.0,0.2,60710012,county_site,71_12_20200822_181938_57_106b_3B_Visual_clip.jpg,2020-08-22,112.0,0.0,112.0,2,,Unhealthy,,test
64,71_12,20201006_181333_1004,,,0.3,60710012,county_site,71_12_20201006_181333_1004_3B_Visual_clip.jpg,2020-10-06,122.0,0.0,122.0,2,,Unhealthy,,valid
65,71_12,20170727_174826_1035,12.0,650112.0,0.26,60710012,county_site,71_12_20170727_174826_1035_3B_Visual_clip.jpg,2017-07-27,108.0,0.0,108.0,2,,Unhealthy,,train
66,71_12,20200926_181808_58_106e,12.0,3760194.0,0.16,60710012,county_site,71_12_20200926_181808_58_106e_3B_Visual_clip.jpg,2020-09-26,84.0,0.0,84.0,1,,Moderate,,valid
67,71_12,20200926_174745_37_2212,12.0,3759888.0,0.0,60710012,county_site,71_12_20200926_174745_37_2212_3B_Visual_clip.jpg,2020-09-26,84.0,0.0,84.0,1,,Moderate,,valid
68,71_12,20191222_183409_91_1058,12.0,2959936.0,0.22,60710012,county_site,71_12_20191222_183409_91_1058_3B_Visual_clip.jpg,2019-12-22,42.0,0.0,42.0,0,,Good,,train
69,71_12,20191121_183725_57_106b,12.0,2862429.0,0.26,60710012,county_site,71_12_20191121_183725_57_106b_3B_Visual_clip.jpg,2019-11-21,37.0,0.0,37.0,0,,Good,,test
70,71_12,20200603_183913_50_1058,12.0,3454875.0,0.23,60710012,county_site,71_12_20200603_183913_50_1058_3B_Visual_clip.jpg,2020-06-03,61.0,0.0,61.0,1,,Moderate,,test
71,71_12,20200608_182344_26_1063,12.0,3469152.0,0.18,60710012,county_site,71_12_20200608_182344_26_1063_3B_Visual_clip.jpg,2020-06-08,39.0,0.0,39.0,0,,Good,,test
72,71_12,20200721_182345_46_1067,12.0,3589929.0,0.23,60710012,county_site,71_12_20200721_182345_46_1067_3B_Visual_clip.jpg,2020-07-21,164.0,0.0,164.0,2,,Unhealthy,,train
73,71_12,20200131_183032_94_106b,12.0,3090949.0,0.12,60710012,county_site,71_12_20200131_183032_94_106b_3B_Visual_clip.jpg,2020-01-31,38.0,0.0,38.0,0,,Good,,valid
74,71_12,20181001_180219_0e2f,12.0,1737404.0,0.11,60710012,county_site,71_12_20181001_180219_0e2f_3B_Visual_clip.jpg,2018-10-01,44.0,0.0,44.0,0,,Good,,train
75,71_12,20200221_183029_75_1067,12.0,3162377.0,0.2,60710012,county_site,71_12_20200221_183029_75_1067_3B_Visual_clip.jpg,2020-02-21,45.0,0.0,45.0,0,,Good,,train
76,71_12,20190912_184028_65_1063,12.0,2671197.0,0.13,60710012,county_site,71_12_20190912_184028_65_1063_3B_Visual_clip.jpg,2019-09-12,64.0,0.0,64.0,1,,Moderate,,valid
77,71_12,20201004_184617_26_1061,,,0.3,60710012,county_site,71_12_20201004_184617_26_1061_3B_Visual_clip.jpg,2020-10-04,112.0,0.0,112.0,2,,Unhealthy,,test
78,71_12,20200420_183905_33_105d,12.0,3334136.0,0.23,60710012,county_site,71_12_20200420_183905_33_105d_3B_Visual_clip.jpg,2020-04-20,44.0,0.0,44.0,0,,Good,,train
79,71_12,20190809_184029_82_1063,12.0,2588625.0,0.23,60710012,county_site,71_12_20190809_184029_82_1063_3B_Visual_clip.jpg,2019-08-09,67.0,0.0,67.0,1,,Moderate,,train
80,71_12,20200315_183835_45_1060,12.0,3232608.0,0.21,60710012,county_site,71_12_20200315_183835_45_1060_3B_Visual_clip.jpg,2020-03-15,42.0,0.0,42.0,0,,Good,,valid
81,71_12,20200316_183037_73_106a,12.0,3236045.0,0.28,60710012,county_site,71_12_20200316_183037_73_106a_3B_Visual_clip.jpg,2020-03-16,37.0,0.0,37.0,0,,Good,,train
82,71_12,20190927_183034_72_1060,12.0,2708944.0,0.24,60710012,county_site,71_12_20190927_183034_72_1060_3B_Visual_clip.jpg,2019-09-27,48.0,0.0,48.0,0,,Good,,train
